StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q2.1_First Click,Q2.1_Last Click,Q2.1_Page Submit,Q2.1_Click Count,Q2.2_1,Q2.4_First Click,Q2.4_Last Click,Q2.4_Page Submit,Q2.4_Click Count,Q2.3_1,Q2.6_First Click,Q2.6_Last Click,Q2.6_Page Submit,Q2.6_Click Count,Q2.5_1,Q2.8_First Click,Q2.8_Last Click,Q2.8_Page Submit,Q2.8_Click Count,Q2.7_1,Q3.2_First Click,Q3.2_Last Click,Q3.2_Page Submit,Q3.2_Click Count,Q3.1_1,Q3.4_First Click,Q3.4_Last Click,Q3.4_Page Submit,Q3.4_Click Count,Q3.3_1,Q3.6_First Click,Q3.6_Last Click,Q3.6_Page Submit,Q3.6_Click Count,Q3.5_1,Q3.8_First Click,Q3.8_Last Click,Q3.8_Page Submit,Q3.8_Click Count,Q3.7_1,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q4.8,Q4.9,Q4.10,Q4.11,Q4.12,Q4.13,Q4.14,Q4.15,Q4.16,mTurkCode,Q6 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent Form
Introduction
Satisfaction surveys have been used in many countries ""to assess community needs, to guide long-range planning, to guide short-term planning, to assess communication with citizens, to evaluate community services, and to determine policy support."" As part of our graduate study in social sciences, we are conducting satisfaction survey on residences of the United States to better understand if the needs of the communities have been met. 
Procedures
After consenting to the survey, you will be asked four questions ranging from employment opportunities to retirement savings. Please answer using the slider to represent your assessment of the topic. It should not take you longer than 10 minutes; each of the four key prompts and questions will take at least 40 seconds.
Risks
Your participation in this survey is entirely voluntary. There is a risk that you may feel uncomfortable sharing your personal opinion on some topics, however your answers will not be shared with anyone.
Benefits
There will be no direct benefit to you, but your participation is likely to help us gauge the satisfaction of residences living in the United States.
Confidentiality
We will not be sharing information about you to anyone outside of the research team. The information that we collect from this survey will be kept private. Any information about you will have a number on it instead of your name. 
Compensation
You will be compensated based upon the pricing set in Amazon Mechanical Turk, provided a reasonable level of time and effort is taken to read and answer each brief prompt. A code will be messaged to you at the completion of the survey.
I have read, understood, and printed a copy of, the above consent form and desire of my own free will to participate in this survey.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Employment Opportunities

 

Now approaching a decade since the worst of the 2008 financial crisis, a steady recovery in the United States has brought a return of modest, sustained economic growth averaging roughly 2% annually, along with rising wage growth of over 3%. While rapid technological advancement has brought new efficiency and growth opportunities to many segments of the economy, many geographic areas and industries also face difficulties competing in global markets and continuing to provide economic opportunities. Overall, however, the unemployment rate has reached a decade-low of close to 4% in 2018, a level lower than pre-crisis unemployment and considered by some economists to be full employment.

 

How do you feel about the general employment outlook for Americans over the next two decades? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Education Value




 
When evaluating the state of American secondary education--high-school level and above--the country has had mixed results in improving outcomes for its students, particularly over the last two decades. At the high school level, the national average graduation rate has risen to its highest point ever as of 2016 at 84%, up 5 percentage points from 2011. Meanwhile, standardized test scores have remained flat while continuing to fall relative to students in Asian countries, especially in STEM studies (Science, Technology, Engineering and Math). With more high school graduates, college attendance has continued to grow at a high rate, with over 20 million active undergraduate students in 2017, up from 15 million students in 2000. This growth in attendance has contributed to a similarly large increase in the price of college education, up over 50% on average since 2000 (after inflation), and an increase in student debt of $1 trillion in the last decade. 

How do you feel about how the education system is preparing students to enter the workforce?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Retirement Savings



 

Among competing priorities of paying for education, a home, medical treatment, and many other necessities of life--particularly when raising a family--saving for retirement often falls toward the bottom of the list. Although many employers have moved to attract talented employees by contributing to retirement funds such as 401(k) accounts, historical market volatility can still add to this anxiety: as we saw in 2000-2001 as well as 2008-2009, stock market crashes and ensuing economic decline can very quickly lead to substantial drops in retirement savings for many Americans. On the other hand, we have seen rapid expansions as well, with total stock indexes growing over 20% in 2017 alone. This volatility in equities has been coupled with historically-low interest rates over the last decade, leading to low returns for fixed income earners.




How do you feel about your prospects for saving enough for retirement?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Cyber-Security Threats 



With recent advancements in computational technology and access to electronics and internet connectivity, there are new threats of cyber-attacks on many nations and their peoples around the world. As a result, U.S. national security agencies have prioritized both private and public sector cyber-security improvements. In the United States alone over the last several years, there have been numerous attempts, some successful, by foreign actors to steal private and government data and disrupt societal norms. For example, credit reporting company Equifax recently experienced a data breach in which driver’s license numbers were stolen from nearly 150 million customers. There have also been several other breaches at major multinational corporations such as Target, Sony and Costco. Warnings of data theft by way of the Huawei phone technology have been given by the U.S., linking the Chinese company to its government, long accused of stealing government data. The energy sector and its electric grid has also been a noted target in recent years.

 

How would you rate the threat of cyber-attacks to your security, private information or livelihood?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Employment Opportunities

 

Now approaching a decade since the worst of the 2008 financial crisis, a steady recovery in the United States has brought a return of modest, sustained economic growth averaging roughly 2% annually, along with rising wage growth of over 3%. While rapid technological advancement has brought new efficiency and growth opportunities to many segments of the economy, many geographic areas and industries also face difficulties competing in global markets and continuing to provide economic opportunities. Overall, however, the unemployment rate has reached a decade-low of close to 4% one year into the Donald Trump presidency, a level lower than pre-crisis unemployment and considered by some economists to be full employment.

 

How do you feel about the general employment outlook for Americans over the next two decades?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Education Value



 

When evaluating the state of American secondary education--high-school level and above--the country has had mixed results in improving outcomes for its students, particularly over the last two decades. At the high school level, the national average graduation rate has risen to its highest point ever as of 2016 at 84%, up 5 percentage points from 2011. Meanwhile, standardized test scores have remained flat while continuing to fall relative to students in Asian countries, especially in STEM studies (Science, Technology, Engineering and Math). With more high school graduates, college attendance has continued to grow at a high rate, with over 20 million active undergraduate students in 2017, up from 15 million students in 2000. This growth in attendance has contributed to a similarly large increase in the price of college education, up over 50% on average since 2000 (after inflation), and an increase in student debt of $1 trillion in the last decade.

 

How do you feel about how the education system is preparing students to enter the workforce?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Retirement Savings 



Among competing priorities of paying for education, a home, medical treatment, and many other necessities of life--particularly when raising a family--saving for retirement often falls toward the bottom of the list. Although many employers have moved to attract talented employees by contributing to retirement funds such as 401(k) accounts, historical market volatility can still add to this anxiety: as we saw in 2000-2001 as well as 2008-2009, stock market crashes and ensuing economic decline can very quickly lead to substantial drops in retirement savings for many Americans. On the other hand, we have seen rapid expansions as well, with total stock indexes growing over 20% in Trump's first year as president. This volatility in equities has been coupled with historically-low interest rates over the last decade, leading to low returns for fixed income earners.



How do you feel about your prospects for saving enough for retirement?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Cyber-Security Threats 



With recent advancements in computational technology and access to electronics and internet connectivity, there are new threats of cyber-attacks on many nations and their peoples around the world. As a result, the Trump administration has prioritized both private and public sector cyber-security improvements. In the United States alone over the last several years, there have been numerous attempts, some successful, by foreign actors to steal private and government data and disrupt societal norms. For example, credit reporting company Equifax recently experienced a data breach in which driver’s license numbers were stolen from nearly 150 million customers. There have also been several other breaches at major multinational corporations such as Target, Sony and Costco. Warnings of data theft by way of the Huawei phone technology have been given by the U.S., linking the Chinese company to its government, long accused of stealing government data. The energy sector and its electric grid has also been a noted target in recent years. 



How would you rate the threat of cyber-attacks to your security, private information or livelihood?",What is your gender?,What is your age?,What is the highest level of education you have completed?,What is your current employment status?,What is your marital status?,Which zip code do you currently live in?,Which community are you currently living?,Are you currently registered to vote?,What is your political preference?,What is your ethnicity?,What is your income?,Do you have kids?,How frequently do you access the internet from your mobile phone?,How frequently do you access the internet from your home?,How frequently do you access the internet from your work?,Who pays for your internet access?,mTurkCode,Q6 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID28_FIRST_CLICK""}","{""ImportId"":""QID28_LAST_CLICK""}","{""ImportId"":""QID28_PAGE_SUBMIT""}","{""ImportId"":""QID28_CLICK_COUNT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID30_FIRST_CLICK""}","{""ImportId"":""QID30_LAST_CLICK""}","{""ImportId"":""QID30_PAGE_SUBMIT""}","{""ImportId"":""QID30_CLICK_COUNT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID22_FIRST_CLICK""}","{""ImportId"":""QID22_LAST_CLICK""}","{""ImportId"":""QID22_PAGE_SUBMIT""}","{""ImportId"":""QID22_CLICK_COUNT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID23_FIRST_CLICK""}","{""ImportId"":""QID23_LAST_CLICK""}","{""ImportId"":""QID23_PAGE_SUBMIT""}","{""ImportId"":""QID23_CLICK_COUNT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID24_FIRST_CLICK""}","{""ImportId"":""QID24_LAST_CLICK""}","{""ImportId"":""QID24_PAGE_SUBMIT""}","{""ImportId"":""QID24_CLICK_COUNT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID39""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""QID13_TEXT_7a54a0303f7348c4a6ef0b62Topics""}"
2018-04-09 03:12:06,2018-04-09 03:16:06,IP Address,174.255.197.127,100,239,True,2018-04-09 03:16:07,R_1FhxJMdLkWJ8YO4,,,,,37.751007080078,-97.821998596191,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,34.197,39.628,41.464,3,90,10.159,14.552,41.304,3,30,3.257,32.11,41.225,4,70,3.349,26.456,41.387,4,65,Male,25 - 34,High school graduate,Employed full time,Never married,24054,Rural,Yes,Right/Republican,White,"$20,000 - $29,999",No,Daily,Daily,Daily,Self/Spouse,1632787,
2018-04-09 03:12:16,2018-04-09 03:16:13,IP Address,59.97.52.10,100,236,True,2018-04-09 03:16:14,R_2VDCXmLZDcETNwL,,,,,10.350006103516,77.950012207031,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,1.504,38.287,41.981,13,80,1.718,40.426,41.305,3,81,1.431,40.142,41.218,10,83,1.24,39.669,41.335,33,78,Female,25 - 34,Professional degree,Employed full time,Never married,10022,Urban,Yes,Middle/Independent,White,"More than $150,000",Yes,Daily,Daily,Daily,Work,5019419,
2018-04-09 03:12:11,2018-04-09 03:16:40,IP Address,122.174.70.74,100,269,True,2018-04-09 03:16:41,R_0lHbDNNCWh6ntER,,,,,13.083297729492,80.283294677734,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,6.29,26.21,49.211,8,61,19.302,28.775,44.066,10,72,14.837,42.091,43.81,17,62,26.984,32.012,42.414,11,66,Male,25 - 34,4 year degree,Employed full time,Married,73301,Urban,Yes,Left/Democrat,White,"$60,000 - $69,999",Yes,Daily,Daily,Weekly,Self/Spouse,6469753,
2018-04-09 03:13:06,2018-04-09 03:16:42,IP Address,67.183.210.112,100,215,True,2018-04-09 03:16:43,R_20PbHp8phwi2AYx,,,,,47.843505859375,-122.19570159912,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,0.478,42.25,42.507,4,59,0.322,40.074,40.806,5,37,1.574,1.574,41.179,1,37,0.717,1.764,41.268,5,64,Male,35 - 44,Some college,Employed full time,Married,92026,Suburban,No,Left/Democrat,White,"$20,000 - $29,999",No,Daily,Daily,Daily,Self/Spouse,1238225,
2018-04-09 03:12:55,2018-04-09 03:17:00,IP Address,209.169.115.45,100,244,True,2018-04-09 03:17:00,R_1QbhKzO8L2EF5qY,,,,,30.22639465332,-95.469200134277,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,40.459,40.459,41.825,1,25,31.495,31.495,41.166,1,10,32.69,32.69,44.728,1,55,10.791,13.398,40.661,2,80,Male,25 - 34,High school graduate,Unemployed looking for work,Never married,77306,Rural,No,Left/Democrat,White,"Less than $10,000",No,Daily,Daily,I am currently not working,Parents,8184869,
2018-04-09 03:12:35,2018-04-09 03:17:05,IP Address,100.11.252.6,100,269,True,2018-04-09 03:17:05,R_1ff3maylrovZxOO,,,,,40.147399902344,-74.836700439453,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,15.821,31.377,42.201,5,45,20.305,24.159,47.278,2,49,34.841,39.064,52.994,3,30,4.39,46.32,47.222,3,70,Female,45 - 54,High school graduate,Employed full time,Married,19055,Suburban,Yes,Right/Republican,White,"$70,000 - $79,999",No,Daily,Daily,Daily,Self/Spouse,8531363,
2018-04-09 03:13:16,2018-04-09 03:17:13,IP Address,67.183.210.112,100,237,True,2018-04-09 03:17:14,R_1oqdUBC1uxAJt4v,,,,,47.843505859375,-122.19570159912,anonymous,EN,Yes,0.361,1.042,44.985,5,63,1.733,1.898,40.652,2,62,1.033,1.59,44.288,2,64,0.25,41.318,44.646,4,63,,,,,,,,,,,,,,,,,,,,,Male,45 - 54,2 year degree,Employed full time,Married,95360,Suburban,No,Left/Democrat,White,"$20,000 - $29,999",No,Daily,Daily,Daily,Self/Spouse,2687158,
2018-04-09 03:12:39,2018-04-09 03:17:26,IP Address,98.248.29.27,100,287,True,2018-04-09 03:17:27,R_2Vkkxa8TRZk23Cm,,,,,37.193099975586,-121.83639526367,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,5.809,5.873,45.403,2,59,4.579,12.72,51.454,2,69,35.691,40.553,41.262,4,22,5.049,5.049,41.828,1,86,Male,35 - 44,4 year degree,Employed full time,Never married,95123,Urban,Yes,Left/Democrat,White,"More than $150,000",No,Daily,Daily,Daily,Self/Spouse,9322151,
2018-04-09 03:12:26,2018-04-09 03:17:30,IP Address,68.33.74.14,100,304,True,2018-04-09 03:17:30,R_QnLYf4fvXtfLXm9,,,,,38.904205322266,-77.031997680664,anonymous,EN,Yes,2.074,46.232,47.358,16,75,4.564,62.414,66.695,16,65,1.952,42.49,43.273,10,78,2.225,19.148,41.659,5,31,,,,,,,,,,,,,,,,,,,,,Male,18 - 24,Some college,Student,Never married,20866,Suburban,No,Middle/Independent,Other,"$20,000 - $29,999",No,Daily,Daily,Daily,Parents,40580,
2018-04-09 03:12:33,2018-04-09 03:17:38,IP Address,157.51.146.188,100,304,True,2018-04-09 03:17:38,R_0PuwleTINR44IZH,,,,,20,77,anonymous,EN,Yes,6.169,6.169,41.766,1,74,4.079,4.079,41.691,1,84,13.476,22.051,44.11,5,51,8.908,13.832,57.178,3,63,,,,,,,,,,,,,,,,,,,,,Male,35 - 44,Professional degree,Employed full time,Married,Tennessee 37076,Urban,Yes,Right/Republican,Asian,"$20,000 - $29,999",Yes,Daily,Daily,Daily,Work,8823687,
2018-04-09 03:14:02,2018-04-09 03:17:52,IP Address,144.48.30.130,100,229,True,2018-04-09 03:17:53,R_2ZKPIS91yap04MP,,,,,14.595504760742,120.97210693359,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,20.138,20.138,41.49,1,100,21.919,21.919,41.183,1,86,13.461,38.21,42.103,4,87,26.785,27.811,41.385,3,74,Male,55 - 64,4 year degree,Employed full time,Married,89032,Urban,Yes,Right/Republican,Asian,"$60,000 - $69,999",Yes,Daily,Daily,Daily,Self/Spouse,382658,
2018-04-09 03:13:23,2018-04-09 03:18:02,IP Address,67.183.210.112,100,278,True,2018-04-09 03:18:02,R_2QM7rTrms2lmNr9,,,,,47.843505859375,-122.19570159912,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,2.045,2.445,41.066,3,64,2.6,2.929,41.168,3,65,0.538,1.663,41.503,4,61,1.822,2.19,45.158,3,44,Male,25 - 34,2 year degree,Employed full time,Married,98012,Suburban,Yes,Left/Democrat,White,"$30,000 - $39,999",No,Daily,Daily,Daily,Self/Spouse,7149458,
2018-04-09 03:13:56,2018-04-09 03:18:07,IP Address,96.234.170.51,100,251,True,2018-04-09 03:18:07,R_3e8mcdTHEjoAxDn,,,,,38.803207397461,-76.53279876709,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,52.94,52.94,55.922,1,71,6.199,6.199,41.779,1,12,7.919,20.394,43.703,3,56,20.736,20.736,42.153,1,72,Male,25 - 34,4 year degree,Employed full time,Never married,20751,Rural,Yes,Middle/Independent,White,"$50,000 - $59,999",No,Daily,Daily,Daily,Self/Spouse,5109198,
2018-04-09 03:13:09,2018-04-09 03:18:12,IP Address,157.50.246.166,100,303,True,2018-04-09 03:18:12,R_1pVX1gzqfTVUN6h,,,,,13.083297729492,80.283294677734,anonymous,EN,Yes,44.514,47.696,49.021,4,65,29.656,39.531,43.313,4,56,38.734,39.993,41.177,2,69,37.429,46.56,47.717,3,36,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,Professional degree,Employed full time,Married,28209,Urban,Yes,Left/Democrat,Asian,"$20,000 - $29,999",Yes,Daily,Daily,Daily,Self/Spouse,2479935,
2018-04-09 03:13:38,2018-04-09 03:18:30,IP Address,37.173.77.161,100,292,True,2018-04-09 03:18:30,R_3Eur7aqlxgt0dgr,,,,,48.86279296875,2.3291931152344,anonymous,EN,Yes,24.324,35.849,41.694,2,66,62.353,62.353,64.566,1,45,30.003,34.352,57.046,2,30,45.15,45.15,46.321,1,66,,,,,,,,,,,,,,,,,,,,,Female,18 - 24,4 year degree,Employed full time,Never married,92691,Suburban,Yes,Left/Democrat,White,"$10,000 - $19,999",No,Daily,Daily,Daily,Self/Spouse,2872273,
2018-04-09 03:14:36,2018-04-09 03:18:34,IP Address,71.161.85.74,100,237,True,2018-04-09 03:18:34,R_3O6aqI5jWfRENic,,,,,44.714202880859,-72.765899658203,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,21.312,21.312,41.462,1,83,18.374,18.374,56.824,1,94,4.862,4.862,44.294,1,30,5.51,5.51,42.49,1,41,Male,35 - 44,2 year degree,Employed full time,Married,05680,Rural,Yes,Right/Republican,,"$40,000 - $49,999",Yes,Daily,Daily,Daily,Self/Spouse,3468051,
2018-04-09 03:13:37,2018-04-09 03:18:40,IP Address,67.183.210.112,100,303,True,2018-04-09 03:18:41,R_5yAyzrHNF94O1Bn,,,,,47.843505859375,-122.19570159912,anonymous,EN,Yes,0.812,1.493,40.902,4,70,0.626,41.79,41.967,4,70,8.334,41.264,41.474,6,84,0.32,0.806,41.389,3,58,,,,,,,,,,,,,,,,,,,,,Male,35 - 44,2 year degree,Employed full time,Married,92069,Suburban,Yes,Left/Democrat,White,"$20,000 - $29,999",No,Daily,Daily,Daily,Self/Spouse,3384431,
2018-04-09 03:13:41,2018-04-09 03:18:43,IP Address,67.183.210.112,100,301,True,2018-04-09 03:18:43,R_2frZAvivT8oJ9WL,,,,,47.843505859375,-122.19570159912,anonymous,EN,Yes,3.699,3.699,40.798,1,60,0.917,41.197,41.383,7,32,1.807,2.845,41.006,5,66,0.195,0.54,61.986,3,38,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,2 year degree,Employed full time,Married,92025,Suburban,Yes,Left/Democrat,White,"$40,000 - $49,999",No,Daily,Daily,Daily,Self/Spouse,2117518,
2018-04-09 03:12:53,2018-04-09 03:18:45,IP Address,24.182.92.247,100,352,True,2018-04-09 03:18:46,R_1lB82tFTU3zz8ob,,,,,35.742706298828,-81.209297180176,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,9.853,30.032,64.043,3,20,31.753,31.753,42.988,1,35,40.776,40.776,41.76,1,25,56.357,65.078,65.886,2,70,Male,25 - 34,Some college,Employed full time,Never married,28601,Urban,Yes,Middle/Independent,White,"$30,000 - $39,999",No,Daily,Daily,Daily,Self/Spouse,7059191,
2018-04-09 03:13:48,2018-04-09 03:18:45,IP Address,67.183.210.112,100,297,True,2018-04-09 03:18:46,R_2UVFk3t0cWDxDhf,,,,,47.843505859375,-122.19570159912,anonymous,EN,Yes,0.418,40.603,40.915,6,62,36.206,42.049,54.133,8,61,8.24,8.411,54.243,2,69,28.457,28.457,46.133,1,62,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,2 year degree,Employed full time,Married,92025,Suburban,Yes,Left/Democrat,White,"$40,000 - $49,999",No,Daily,Daily,Daily,Self/Spouse,946931,
2018-04-09 03:12:47,2018-04-09 03:18:49,IP Address,68.10.185.74,100,362,True,2018-04-09 03:18:49,R_2BzL8goImRgmYEF,,,,,37.062698364258,-76.405197143555,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,17.303,31.238,44.877,3,8,45.754,45.754,46.982,1,73,17.341,20.686,51.364,4,40,26.652,27.034,63.393,2,80,Female,25 - 34,Some college,Employed full time,Separated,23669,Suburban,No,Middle/Independent,Black or African American,"$20,000 - $29,999",Yes,Daily,Daily,Less than once a month,Self/Spouse,8721960,
2018-04-09 03:15:09,2018-04-09 03:19:32,IP Address,196.52.2.53,100,262,True,2018-04-09 03:19:33,R_uwvRTBTlqQ2E1oJ,,,,,40.714294433594,-74.005996704102,anonymous,EN,Yes,21.334,31.836,42.01,2,0,71.538,71.538,72.414,1,0,18.922,18.922,43.746,1,0,17.646,17.646,41.66,1,100,,,,,,,,,,,,,,,,,,,,,Male,18 - 24,High school graduate,Unemployed not looking for work,Never married,20602,Suburban,Yes,Middle/Independent,Black or African American,"Less than $10,000",No,Daily,Daily,Daily,Parents,2461730,
2018-04-09 03:15:12,2018-04-09 03:19:49,IP Address,196.146.195.141,100,276,True,2018-04-09 03:19:49,R_2WZi1kenxcVm94w,,,,,30.077102661133,31.285903930664,anonymous,EN,Yes,28.772,28.772,47.544,1,40,29.181,29.181,48.375,1,30,38.772,38.772,42.011,1,10,38.131,43.05,44.301,2,20,,,,,,,,,,,,,,,,,,,,,Female,25 - 34,Professional degree,Employed full time,Never married,16901,Rural,No,Middle/Independent,White,"$20,000 - $29,999",No,Daily,Daily,Daily,Self/Spouse,1054395,
2018-04-09 03:15:24,2018-04-09 03:19:58,IP Address,99.19.101.168,100,273,True,2018-04-09 03:19:58,R_28ZhOCPTKotla9M,,,,,44.059906005859,-88.527801513672,anonymous,EN,Yes,50.122,50.122,53.071,1,60,34.948,34.948,42.634,1,20,35.738,35.738,43.71,1,9,46.794,46.794,48.862,1,91,,,,,,,,,,,,,,,,,,,,,Female,55 - 64,2 year degree,Retired,Married,54901,Rural,Yes,Right/Republican,White,"$40,000 - $49,999",No,Daily,Daily,I am currently not working,Self/Spouse,8912023,
2018-04-09 03:15:39,2018-04-09 03:20:04,IP Address,98.219.125.65,100,265,True,2018-04-09 03:20:05,R_3IQ5Ak7I1osu1Wr,,,,,27.218704223633,-82.471000671387,anonymous,EN,Yes,28.029,36.871,40.932,3,92,7.964,65.945,66.505,3,82,36.057,36.057,49.258,1,65,7.267,49.337,49.613,5,100,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,4 year degree,Employed full time,Never married,34238,Suburban,Yes,Left/Democrat,White,"$10,000 - $19,999",No,Daily,Daily,Daily,Self/Spouse,2606371,
2018-04-09 03:16:12,2018-04-09 03:20:05,IP Address,68.48.160.237,100,233,True,2018-04-09 03:20:06,R_1ohbHord4T7GnI3,,,,,42.7626953125,-84.44270324707,anonymous,EN,Yes,28.045,40.879,42.6,6,60,13.159,32.756,41.9,2,35,11.126,40.207,41.572,4,55,32.308,33.275,40.841,2,30,,,,,,,,,,,,,,,,,,,,,Male,25 - 34,Some college,"Employed full time,Student",Never married,48864,Suburban,Yes,Middle/Independent,White,"$40,000 - $49,999",No,Daily,Daily,Daily,Self/Spouse,7557481,
